black_player_id,white_player_id,winner_id,match_date
899,551,899,2024-04-01
240,842,842,2024-04-01
283,782,782,2024-04-01
751,383,751,2024-04-01
869,827,827,2024-04-01
407,454,454,2024-04-01
127,109,127,2024-04-01
390,926,390,2024-04-01
648,415,648,2024-04-01
126,54,126,2024-04-01
719,839,719,2024-04-01
613,530,530,2024-04-01
739,966,739,2024-04-01
590,946,946,2024-04-01
358,230,358,2024-04-01
676,878,878,2024-04-01
681,399,399,2024-04-01
114,500,500,2024-04-01
536,349,349,2024-04-01
248,980,248,2024-04-01
184,218,184,2024-04-01
578,540,578,2024-04-01
969,99,969,2024-04-01
286,140,140,2024-04-01
449,887,887,2024-04-01
535,42,42,2024-04-01
981,852,852,2024-04-01
644,837,644,2024-04-01
210,380,380,2024-04-01
775,711,711,2024-04-01
595,409,409,2024-04-01
812,404,404,2024-04-01
874,411,411,2024-04-01
67,615,615,2024-04-01
691,154,691,2024-04-01
591,609,591,2024-04-01
60,216,216,2024-04-01
354,403,403,2024-04-01
495,929,495,2024-04-01
124,817,817,2024-04-01
727,246,727,2024-04-01
37,542,542,2024-04-01
293,122,122,2024-04-01
246,400,246,2024-04-01
583,961,583,2024-04-01
736,811,736,2024-04-01
92,375,92,2024-04-01
963,570,963,2024-04-01
683,2,683,2024-04-01
235,651,235,2024-04-01
106,266,266,2024-04-01
712,842,712,2024-04-01
975,98,98,2024-04-01
415,353,415,2024-04-01
229,241,241,2024-04-01
722,692,692,2024-04-01
599,374,374,2024-04-01
690,617,690,2024-04-01
513,957,513,2024-04-01
115,932,932,2024-04-01
661,34,34,2024-04-01
637,935,935,2024-04-01
293,529,293,2024-04-01
528,199,199,2024-04-01
764,205,764,2024-04-01
290,477,290,2024-04-01
244,567,244,2024-04-01
974,687,974,2024-04-01
373,66,373,2024-04-01
153,265,153,2024-04-01
50,925,50,2024-04-01
644,957,644,2024-04-01
668,241,668,2024-04-01
677,565,677,2024-04-01
230,908,908,2024-04-01
727,545,545,2024-04-01
730,273,273,2024-04-01
892,238,238,2024-04-01
454,951,454,2024-04-01
671,217,671,2024-04-01
137,70,70,2024-04-01
223,437,437,2024-04-01
333,864,333,2024-04-01
944,839,839,2024-04-01
381,77,381,2024-04-01
713,27,27,2024-04-01
602,41,602,2024-04-01
33,332,332,2024-04-01
32,858,858,2024-04-01
973,763,973,2024-04-01
750,747,750,2024-04-01
136,70,70,2024-04-01
426,162,426,2024-04-01
739,321,321,2024-04-01
730,973,973,2024-04-01
520,258,258,2024-04-01
563,441,441,2024-04-01
4,717,4,2024-04-01
37,952,37,2024-04-01
766,423,766,2024-04-01
91,308,308,2024-04-01
180,181,181,2024-04-01
982,457,457,2024-04-01
905,103,905,2024-04-01
361,524,524,2024-04-01
160,160,160,2024-04-01
864,780,780,2024-04-01
695,642,642,2024-04-01
941,698,698,2024-04-01
852,945,945,2024-04-01
267,993,993,2024-04-01
30,747,747,2024-04-01
45,82,45,2024-04-01
514,769,769,2024-04-01
217,749,217,2024-04-01
619,951,951,2024-04-01
603,42,42,2024-04-01
620,598,620,2024-04-01
763,451,763,2024-04-01
913,721,721,2024-04-01
815,261,261,2024-04-01
149,497,149,2024-04-01
350,698,698,2024-04-01
587,149,149,2024-04-01
738,251,738,2024-04-01
933,153,933,2024-04-01
485,930,930,2024-04-01
449,834,834,2024-04-01
953,997,997,2024-04-01
720,825,825,2024-04-01
15,118,15,2024-04-01
315,558,315,2024-04-01
702,818,702,2024-04-01
866,899,899,2024-04-01
318,412,318,2024-04-01
71,47,71,2024-04-01
716,297,297,2024-04-01
595,296,296,2024-04-01
278,714,714,2024-04-01
312,144,144,2024-04-01
695,289,289,2024-04-01
636,531,636,2024-04-01
436,471,436,2024-04-01
826,921,921,2024-04-01
822,920,822,2024-04-01
378,285,378,2024-04-01
345,626,626,2024-04-01
819,992,992,2024-04-01
634,455,455,2024-04-01
313,812,812,2024-04-01
321,179,321,2024-04-01
371,47,371,2024-04-01
108,850,850,2024-04-01
456,749,749,2024-04-01
442,92,92,2024-04-01
645,513,513,2024-04-01
515,688,515,2024-04-01
918,852,918,2024-04-01
196,266,196,2024-04-01
82,584,82,2024-04-01
394,798,394,2024-04-01
479,980,479,2024-04-01
91,596,91,2024-04-01
528,273,273,2024-04-01
188,21,188,2024-04-01
613,160,160,2024-04-01
786,752,752,2024-04-01
590,501,590,2024-04-01
204,640,640,2024-04-01
413,454,413,2024-04-01
865,851,851,2024-04-01
671,32,32,2024-04-01
436,48,48,2024-04-01
